pop,code,mpg,ha,category,brood_yr,nS,phos
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1969,914,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1970,813,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1971,797,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1972,1169,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1973,1263,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1974,947,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1975,328,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1976,664,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1977,221,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1978,1097,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1979,157,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1980,155,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1981,76,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1982,520,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1983,375,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1984,492,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1985,675,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1986,419,0.23
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1987,640,0.32
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1988,975,0.45
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1989,296,0.76
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1990,95,0.4
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1991,163,0.35
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1992,196,0.75
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1993,501,0.51
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1994,67,0.25
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1995,37,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1996,96,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1997,195,0.05
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1998,185,0
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,1999,95,0.08
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2000,231,0.17
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2001,651,0.23
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2002,861,0.53
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2003,818,0.49
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2004,858,0.77
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2005,678,0.75
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2006,480,0.64
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2007,391,0.67
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2008,1480,0.72
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2009,1095,0.57
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2010,4065,0.73
Lostine,GRLOS,Grande Ronde / Imnaha,74.6631,impact,2011,3688,0.67
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1954,794,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1955,1082,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1956,2020,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1957,4104,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1958,305,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1959,1984,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1960,898,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1961,438,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1962,1474,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1963,778,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1964,1003,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1965,869,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1966,822,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1967,305,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1968,657,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1969,931,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1970,942,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1971,652,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1972,871,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1973,683,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1974,459,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1975,377,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1976,547,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1977,267,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1978,1446,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1979,92,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1980,102,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1981,140,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1982,228,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1983,216,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1984,233,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1985,1209,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1986,655,0.5
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1987,908,0.5
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1988,868,0.37
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1989,319,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1990,528,0.56
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1991,399,0.38
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1992,394,0.9
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1993,415,0.44
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1994,54,0.44
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1995,70,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1996,311,0.05
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1997,188,0.04
